t_s,y_pred_mOhm,u_cmd,e,r
332.0,1.0201108005493846,0.9736772596112911,-0.00010853650898656753,1.02
333.0,1.0201085365089866,0.9736985141050088,-0.00010631873080435561,1.02
334.0,1.0201063187308044,0.9737193342955333,-0.00010414626954013961,1.02
335.0,1.0201041462695402,0.9737397290571884,-0.00010201819921151767,1.02
336.0,1.0201020181992115,0.973759707082965,-9.993361275739687e-05,1.02
337.0,1.0200999336127574,0.9737792768882256,-9.789162165141363e-05,1.02
338.0,1.0200978916216514,0.9737984468143347,-9.589135552223738e-05,1.02
339.0,1.0200958913555223,0.9738172250322132,-9.393196178342222e-05,1.02
340.0,1.0200939319617834,0.9738356195458221,-9.201260527036403e-05,1.02
341.0,1.0200920126052704,0.9738536381955736,-9.013246788303064e-05,1.02
342.0,1.020090132467883,0.9738712886616727,-8.829074823846206e-05,1.02
343.0,1.0200882907482385,0.9738885784673915,-8.648666132859972e-05,1.02
344.0,1.0200864866613286,0.9739055149822753,-8.47194381856653e-05,1.02
345.0,1.0200847194381857,0.9739221054252839,-8.298832555508895e-05,1.02
346.0,1.020082988325555,0.9739383568678688,-8.129258557332264e-05,1.02
347.0,1.0200812925855733,0.973954276236987,-7.96314954540911e-05,1.02
348.0,1.020079631495454,0.973969870318054,-7.800434717997184e-05,1.02
349.0,1.02007800434718,0.9739851457578352,-7.641044720196888e-05,1.02
350.0,1.020076410447202,0.97400010906728,-7.484911614108469e-05,1.02
351.0,1.020074849116141,0.974014766624296,-7.331968850143866e-05,1.02
352.0,1.0200733196885015,0.9740291246764684,-7.182151238560586e-05,1.02
353.0,1.0200718215123856,0.9740431893437224,-7.03539492161731e-05,1.02
354.0,1.0200703539492162,0.9740569666209318,-6.891637346373436e-05,1.02
355.0,1.0200689163734638,0.974070462380474,-6.750817238110329e-05,1.02
356.0,1.0200675081723811,0.9740836823747338,-6.612874574174477e-05,1.02
357.0,1.0200661287457418,0.9740966322385541,-6.477750558375739e-05,1.02
358.0,1.0200647775055838,0.9741093174916393,-6.345387595962926e-05,1.02
359.0,1.0200634538759596,0.9741217435409064,-6.215729268999048e-05,1.02
360.0,1.02006215729269,0.9741339156827905,-6.088720312424911e-05,1.02
361.0,1.0200608872031243,0.9741458391055022,-5.964306590344748e-05,1.02
362.0,1.0200596430659035,0.9741575188912387,-5.842435073089014e-05,1.02
363.0,1.020058424350731,0.9741689600183503,-5.7230538145880416e-05,1.02
364.0,1.020057230538146,0.9741801673634625,-5.606111930211988e-05,1.02
365.0,1.0200560611193021,0.9741911457035541,-5.491559575054872e-05,1.02
366.0,1.0200549155957506,0.974201899717994,-5.379347922729316e-05,1.02
367.0,1.0200537934792273,0.9742124339905348,-5.2694291445609664e-05,1.02
368.0,1.0200526942914456,0.9742227530112676,-5.1617563890937745e-05,1.02
369.0,1.020051617563891,0.9742328611785348,-5.056283762350233e-05,1.02
370.0,1.0200505628376235,0.974242762800806,-4.9529663079805886e-05,1.02
371.0,1.0200495296630798,0.9742524620985132,-4.851759988411253e-05,1.02
372.0,1.0200485175998841,0.974261963205851,-4.7526216657489684e-05,1.02
373.0,1.0200475262166575,0.9742712701725372,-4.655509083706377e-05,1.02
