t_s,y_pred,u_cmd,error,reference
348.0,-18.56840859813533,0.3,268.5684085981353,250.0
349.0,-18.56840859813678,0.3,268.5684085981368,250.0
350.0,-18.568408598137765,0.3,268.56840859813775,250.0
351.0,-18.56840859813824,0.3,268.56840859813826,250.0
352.0,-18.56840859813823,0.3,268.5684085981382,250.0
353.0,-18.56840859813781,0.3,268.5684085981378,250.0
354.0,-18.568408598137093,0.3,268.56840859813707,250.0
355.0,-18.568408598136212,0.3,268.5684085981362,250.0
356.0,-18.568408598135292,0.3,268.5684085981353,250.0
357.0,-18.568408598134447,0.3,268.56840859813445,250.0
358.0,-18.568408598133765,0.3,268.5684085981338,250.0
359.0,-18.568408598133303,0.3,268.5684085981333,250.0
360.0,-18.568408598133082,0.3,268.5684085981331,250.0
361.0,-18.568408598133093,0.3,268.5684085981331,250.0
362.0,-18.568408598133296,0.3,268.5684085981333,250.0
363.0,-18.568408598133637,0.3,268.56840859813366,250.0
364.0,-18.56840859813405,0.3,268.56840859813406,250.0
365.0,-18.56840859813448,0.3,268.56840859813445,250.0
366.0,-18.56840859813487,0.3,268.56840859813485,250.0
367.0,-18.568408598135182,0.3,268.5684085981352,250.0
368.0,-18.56840859813539,0.3,268.5684085981354,250.0
369.0,-18.568408598135495,0.3,268.5684085981355,250.0
370.0,-18.56840859813549,0.3,268.5684085981355,250.0
371.0,-18.568408598135395,0.3,268.5684085981354,250.0
372.0,-18.56840859813524,0.3,268.56840859813525,250.0
373.0,-18.568408598135047,0.3,268.568408598135,250.0
374.0,-18.568408598134845,0.3,268.56840859813485,250.0
375.0,-18.568408598134656,0.3,268.5684085981347,250.0
376.0,-18.568408598134504,0.3,268.5684085981345,250.0
377.0,-18.568408598134404,0.3,268.5684085981344,250.0
378.0,-18.568408598134358,0.3,268.56840859813434,250.0
379.0,-18.56840859813436,0.3,268.56840859813434,250.0
380.0,-18.568408598134404,0.3,268.5684085981344,250.0
381.0,-18.56840859813448,0.3,268.56840859813445,250.0
382.0,-18.568408598134567,0.3,268.56840859813457,250.0
383.0,-18.568408598134663,0.3,268.5684085981347,250.0
384.0,-18.568408598134752,0.3,268.56840859813474,250.0
385.0,-18.568408598134823,0.3,268.56840859813485,250.0
386.0,-18.568408598134873,0.3,268.56840859813485,250.0
387.0,-18.5684085981349,0.3,268.5684085981349,250.0
388.0,-18.5684085981349,0.3,268.5684085981349,250.0
389.0,-18.56840859813488,0.3,268.56840859813485,250.0
390.0,-18.568408598134845,0.3,268.56840859813485,250.0
391.0,-18.5684085981348,0.3,268.5684085981348,250.0
392.0,-18.568408598134756,0.3,268.56840859813474,250.0
393.0,-18.568408598134713,0.3,268.56840859813474,250.0
394.0,-18.568408598134678,0.3,268.5684085981347,250.0
395.0,-18.568408598134653,0.3,268.5684085981346,250.0
396.0,-18.56840859813464,0.3,268.5684085981346,250.0
397.0,-18.56840859813464,0.3,268.5684085981346,250.0
398.0,-18.56840859813465,0.3,268.5684085981346,250.0
399.0,-18.568408598134667,0.3,268.5684085981347,250.0
400.0,-18.568408598134695,0.3,268.5684085981347,250.0
